,scorer,Test_size,abs_error,quantifier,dataset,actual_c.1,actual_c.2,actual_c.3,actual_c.4,pred_c.1,pred_c.2,pred_c.3,pred_c.4
0,SVC,50,0.869,SCH_CC,wine,0.0,0.06962994559068138,0.49604675021463374,0.43432330419468496,0.0,0.18,0.82,0.0
0,SVC,50,1.131,SCH_MS,wine,0.0,0.06962994559068138,0.49604675021463374,0.43432330419468496,0.0,0.0,0.0,1.0
0,SVC,50,0.261,SCH_EM,wine,0.0,0.06962994559068138,0.49604675021463374,0.43432330419468496,0.0,0.099,0.597,0.304
0,SVC,50,0.573,DySyn,wine,0.0,0.21861664614934892,0.3445588829079784,0.4368244709426727,0.257,0.248,0.257,0.238
0,SVC,50,0.563,DyS,wine,0.0,0.21861664614934892,0.3445588829079784,0.4368244709426727,0.25,0.25,0.25,0.25
0,SVC,50,0.566,DySyn+aMoSS,wine,0.0,0.21861664614934892,0.3445588829079784,0.4368244709426727,0.251,0.251,0.248,0.251
0,SVC,50,0.689,SCH_AC,wine,0.0,0.21861664614934892,0.3445588829079784,0.4368244709426727,0.0,0.454,0.0,0.546
0,SVC,50,0.121,SCH_GPAC,wine,0.0,0.21861664614934892,0.3445588829079784,0.4368244709426727,0.0,0.246,0.284,0.47
0,SVC,50,0.383,SCH_DyS,wine,0.0,0.21861664614934892,0.3445588829079784,0.4368244709426727,0.0,0.13,0.536,0.334
0,SVC,50,1.191,SCH_CC,wine,0.0,0.21861664614934892,0.3445588829079784,0.4368244709426727,0.0,0.06,0.94,0.0
0,SVC,50,1.126,SCH_MS,wine,0.0,0.21861664614934892,0.3445588829079784,0.4368244709426727,0.0,0.0,0.0,1.0
0,SVC,50,0.143,SCH_EM,wine,0.0,0.21861664614934892,0.3445588829079784,0.4368244709426727,0.0,0.247,0.273,0.48
0,SVC,50,0.677,DySyn,wine,0.0,0.1741205985449773,0.26313612337315284,0.5627432780818697,0.264,0.249,0.249,0.239
0,SVC,50,0.652,DyS,wine,0.0,0.1741205985449773,0.26313612337315284,0.5627432780818697,0.25,0.25,0.25,0.25
0,SVC,50,0.652,DySyn+aMoSS,wine,0.0,0.1741205985449773,0.26313612337315284,0.5627432780818697,0.25,0.25,0.25,0.25
0,SVC,50,0.526,SCH_AC,wine,0.0,0.1741205985449773,0.26313612337315284,0.5627432780818697,0.0,0.385,0.0,0.615
