,scorer,Test_size,abs_error,quantifier,dataset,actual_c.0,actual_c.1,actual_c.2,pred_c.0,pred_c.1,pred_c.2
0,RandomForestClassifier,50,0.136,DyS,nursery,0.1,0.5031835091631032,0.3968164908368968,0.099,0.436,0.465
0,RandomForestClassifier,50,0.47,DySyn+aMoSS,nursery,0.1,0.5031835091631032,0.3968164908368968,0.134,0.268,0.598
0,RandomForestClassifier,50,0.098,SCH_AC,nursery,0.1,0.5031835091631032,0.3968164908368968,0.096,0.458,0.446
0,RandomForestClassifier,50,0.095,SCH_GPAC,nursery,0.1,0.5031835091631032,0.3968164908368968,0.1,0.456,0.445
0,RandomForestClassifier,50,0.52,SCH_DyS,nursery,0.1,0.5031835091631032,0.3968164908368968,0.09,0.253,0.657
0,RandomForestClassifier,50,0.126,SCH_CC,nursery,0.1,0.5031835091631032,0.3968164908368968,0.1,0.44,0.46
0,RandomForestClassifier,50,0.71,SCH_MS,nursery,0.1,0.5031835091631032,0.3968164908368968,0.455,0.259,0.286
0,RandomForestClassifier,50,0.1,SCH_EM,nursery,0.1,0.5031835091631032,0.3968164908368968,0.098,0.455,0.447
0,RandomForestClassifier,50,0.09,DySyn,nursery,0.1,0.42696033175067655,0.47303966824932336,0.127,0.382,0.491
0,RandomForestClassifier,50,0.074,DyS,nursery,0.1,0.42696033175067655,0.47303966824932336,0.098,0.392,0.51
0,RandomForestClassifier,50,0.06,DySyn+aMoSS,nursery,0.1,0.42696033175067655,0.47303966824932336,0.125,0.432,0.443
0,RandomForestClassifier,50,0.036,SCH_AC,nursery,0.1,0.42696033175067655,0.47303966824932336,0.096,0.413,0.491
0,RandomForestClassifier,50,0.11,SCH_GPAC,nursery,0.1,0.42696033175067655,0.47303966824932336,0.1,0.372,0.528
0,RandomForestClassifier,50,0.134,SCH_DyS,nursery,0.1,0.42696033175067655,0.47303966824932336,0.093,0.367,0.54
0,RandomForestClassifier,50,0.094,SCH_CC,nursery,0.1,0.42696033175067655,0.47303966824932336,0.1,0.38,0.52
0,RandomForestClassifier,50,0.727,SCH_MS,nursery,0.1,0.42696033175067655,0.47303966824932336,0.463,0.247,0.289
0,RandomForestClassifier,50,0.102,SCH_EM,nursery,0.1,0.42696033175067655,0.47303966824932336,0.099,0.377,0.524
0,RandomForestClassifier,50,0.1,DySyn,nursery,0.1,0.504951576361887,0.39504842363811304,0.119,0.455,0.426
0,RandomForestClassifier,50,0.014,DyS,nursery,0.1,0.504951576361887,0.39504842363811304,0.098,0.5,0.402
0,RandomForestClassifier,50,0.152,DySyn+aMoSS,nursery,0.1,0.504951576361887,0.39504842363811304,0.131,0.429,0.44
